,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
323,California,Monterey Park,34.0625106,-118.1228476,1.0,0.0,1.0,3.0,0.0,5.0
324,California,Moorpark,34.285558,-118.8820414,0.0,0.0,1.0,1.0,0.0,2.0
325,California,Moreno Valley,33.9424658,-117.2296717,1.0,1.0,4.0,0.0,0.0,6.0
326,California,Morgan Hill,37.1305012,-121.6543901,0.0,1.0,0.0,0.0,0.0,1.0
327,California,Mountain View,37.3860517,-122.0838511,0.0,0.0,0.0,0.0,1.0,1.0
328,California,Murrieta,33.5539143,-117.2139232,1.0,4.0,0.0,0.0,0.0,5.0
329,California,Napa,38.2975381,-122.286865,1.0,0.0,0.0,1.0,0.0,2.0
330,California,National City,32.6781085,-117.0991967,2.0,2.0,0.0,1.0,1.0,6.0
331,California,Newark,37.5296593,-122.0402399,3.0,3.0,2.0,1.0,1.0,10.0
332,California,Newport Beach,33.6188829,-117.9298493,6.0,2.0,1.0,2.0,0.0,11.0
333,California,Norco,33.9311257,-117.548661,0.0,0.0,1.0,0.0,2.0,3.0
334,California,Northridge,34.2381251,-118.530123,3.0,0.0,0.0,1.0,0.0,4.0
335,California,Norwalk,33.9022367,-118.081733,1.0,5.0,11.0,3.0,1.0,21.0
336,California,Novato,38.1074198,-122.5697032,2.0,0.0,0.0,0.0,2.0,4.0
337,California,Oakland,37.8043637,-122.2711137,6.0,7.0,9.0,9.0,6.0,37.0
338,California,Oceanside,33.1958696,-117.3794834,8.0,7.0,4.0,2.0,4.0,25.0
339,California,Ontario,34.0633443,-117.6508876,2.0,1.0,0.0,1.0,0.0,4.0
340,California,Orange,33.7879139,-117.8531007,1.0,2.0,3.0,3.0,1.0,10.0
341,California,Orland,39.7473803,-122.1963748,1.0,0.0,0.0,0.0,0.0,1.0
342,California,Oroville,39.5137752,-121.556359,0.0,1.0,0.0,0.0,0.0,1.0
343,California,Oxnard,34.1975048,-119.1770516,3.0,0.0,4.0,7.0,5.0,19.0
344,California,Pacific Grove,36.6177374,-121.9166215,0.0,1.0,0.0,0.0,1.0,2.0
345,California,Pacifica,37.6138253,-122.4869194,3.0,1.0,0.0,0.0,0.0,4.0
346,California,Palm Desert,33.7222445,-116.3744556,1.0,0.0,0.0,1.0,0.0,2.0
347,California,Palm Springs,33.8302961,-116.5452921,4.0,4.0,2.0,0.0,3.0,13.0
348,California,Palmdale,34.5794343,-118.1164613,14.0,5.0,3.0,2.0,8.0,32.0
349,California,Palo Alto,37.4418834,-122.1430195,4.0,1.0,3.0,3.0,4.0,15.0
350,California,Paradise,39.7596061,-121.6219177,1.0,0.0,0.0,0.0,1.0,2.0
351,California,Paramount,33.8894598,-118.1597911,4.0,2.0,0.0,2.0,0.0,8.0
352,California,Parlier,36.6116174,-119.5270734,0.0,0.0,0.0,0.0,0.0,0.0
353,California,Pasadena,34.1477849,-118.1445155,2.0,3.0,3.0,0.0,2.0,10.0
354,California,Paso Robles,35.6368759,-120.6545022,1.0,0.0,2.0,0.0,0.0,3.0
355,California,Perris,33.7825194,-117.2286478,0.0,0.0,0.0,0.0,1.0,1.0
356,California,Petaluma,38.232417,-122.6366524,0.0,0.0,0.0,0.0,1.0,1.0
357,California,Pico Rivera,33.9830688,-118.096735,0.0,1.0,1.0,0.0,0.0,2.0
358,California,Piedmont,37.8243715,-122.231635,0.0,0.0,1.0,0.0,0.0,1.0
359,California,Pinole,38.0043667,-122.2988587,1.0,1.0,0.0,0.0,0.0,2.0
360,California,Pittsburg,38.0279762,-121.8846806,1.0,0.0,1.0,0.0,0.0,2.0
361,California,Placentia,33.8710729,-117.8627548,0.0,1.0,2.0,1.0,1.0,5.0
362,California,Placerville,38.7296252,-120.798546,1.0,0.0,0.0,0.0,0.0,1.0
